baby 啤啤	婴儿。
收埋喺边	把东西藏在哪里了
收埋收埋	①把东西都藏起来②把外面的账收回来。
收声	住声、住嘴
收屘	最后、后来
收屘科	①最后的一场戏②结束，完了
收山	洗手不干
收工	下班
收心	①静下心来②收回念头
收慢火	使火力减弱。
收收埋埋	把钱财等物品收藏起来
收收柄柄	①将物品暗藏起来不使人知②指人十分吝啬
收数	收別人欠下的债
收档	①收摊②比喻不干了③指人去世了
收水	①去收別人欠的账②食物在煮的过程中不再出水
收油	机动车减速
收热头	日落，太阳下山了
收科	收场、了结
收线	掛断（电话）
收肚	减了肥，腹部缩小
收行水	地方恶霸勒索水路的旅客。
收衫	把晾的衣服收回来
收风	听到汇报、听到传言
攻打四方城	指打麻将
攻眼攻鼻	气味刺激眼睛和鼻子，尤其是辣椒和化学品
放低	放下来
放佢一马	放过他这次吧
放光虫	萤火虫
放唔低	①放不下来②老是憋在心里
放唔得落	①老是放不下心来②物品太多放不下
放声气	放风声，吹风儿，造舆论。
放屁射竹筒——有心靠撞	形容没有真本事，有心靠蒙、靠碰运气。
放晒声气	吹风儿、放风声、造舆论
放水	①小便②故意洩露试题或输掉比赛
放水	球员不积极比赛，故意让对方赢球。
放电	指女人施展魅力诱惑男子
放白鸽	利用妇女以结婚为名欺骗男子，骗取钱物。
放监	出狱
放纸鹞——拉拉扯扯	①纸鹞即风筝，须一手牵着②比喻扯不断，理还乱
放落	放在一边、放下来
放葫芦	①瞎吹，吹牛②乱说，神聊。
放葫芦——车大奅	①特能侃大山②说大话，吹牛皮。
放蛇	警方派了臥底，最后把罪犯一网打尽
放贵利	放高利贷者，骗人，坑人。
放轻	①俗称小便②把身上重的东西放下
放都唔生	本事有限，放他出去闯也没用
放马过嚟	尽管出招吧。
救伤车	即救护车。
教会休息——唔讲道理	没有讲道理的地方，讲不了道理
教唔掂	学生顽劣，教不了，或者是教师本事不大
教坏后生	指前辈没有用正确的方法教育晚辈。
教精你	教教你，让你学聪明一点
教识徒弟，饿死师傅	这是旧观念，不过也有一些师傅这样认为而留一手
散仔	没有正式职业，做些散工的人
散修修	①零乱，散乱育②松散的样子
散卖	零卖。
散咗	①物品散开②指男女朋友劳燕纷飞，分手了
散手	不成套的武术
散散修修	物品很散乱，松松散散的样子
散斋	散摊子
散春	鱼产卵
散晒	全部散架了
散更	旧时打完五更，密击鼓表示更尽
散档	散伙、散摊子
散毒	排毒。
散水	①活动结束人们纷纷离去②贬义，作鸟兽散
散瘀	脚上撞伤，擦些药酒消肿。
散纸	零钞
散银	零钱、硬币。
数口	①算计、算度②价钱、条件
数唔切	形容（钱）多得数不清。
数屘	数目零头、尾数
数白榄	说顺口溜
数碟底	比喻揭露別人的隐私
数臭佢	揭他的老底，数他的罪责，使他不得人心。
数薄	账本、账册
数还数，路还路	人情归人情，数目要分明
敲头壳	指用乎指节打头。
敲脚骨	比喻敲竹杠、勒索、敲诈
敲鼓边	比喻从中帮腔助势
整亲	不小心弄伤了一点
整亲人	搞到人家身上，惹麻烦了
整几味	弄几个菜尝一尝
整唔掂	弄不好，做不来
整四圈	打四圈麻将吧
整埋整埋	都做好了，全部弄好了。
整定	①预先做好②必然、注定
整定你好彩	算你碰上好的运气。
整定你衰	该你倒楣
整定系	该这样，注定是这样
整定身势	做好準备，摆好架势
整弯	①把东西弄弯了②弄糟了
整成噉	搞成这个样子
整损手	弄破了手
整整埋埋	①很不容易，花很多时间才做好②把某人的材料整好
整热	把凉的食物加热
整牙	牙齿不齐，需要箍好
整瓜佢	①治一治他②整死他
整色整水	形容装样子，装门面糊弄人
整色水	装门面，装样子
整蛊	①作弄人②暗中使坏，给人穿小鞋
整蛊人	戏弄，作弄人
整蛊做怪	①装神弄鬼②爱做鬼脸
整蛊整怪	①爱做鬼脸②装神弄鬼吓唬人
整表	修理手表
整衰晒	越弄越糟，搞砸了
整返几味	意为弄几个好菜嚐嚐
整邋遢	弄得很不干净。
整钟表	修理钟表。
整餸	做菜
整鬼	①爱整人，作弄人②看別人的笑话
整鬼面	做鬼脸
文又化，水又平	比喻某人没什么文化
斗下气	故意争斗一下，发洩一下
斗劲	比试谁厉害，谁有真本事
斗咬	互相撕咬
斗大	①扑克游戏之一②比地位高
斗快	看谁快
斗撑	看谁坚持得久
斗撚nin2	互相争斗
斗木	木工活儿
斗木佬	做木工活的师傅
斗气	赌气
斗气车	两车在马路上故意争斗，佔位置
斗牛	扑克牌的一种游戏。每人五张牌，先将三张牌合为0点，为一只牛，另外两张若也可合为0点，则为「双牛」。10与公仔视为0点，1—9则为自己的点数
斗牛六七八——冇办法	一点办法也没有。玩扑克「斗牛」游戏，每当碰到五张牌之中有三张牌点为六、七、八时，通常就组合不成一只「牛」
斗米养斤鸡	成本太高，形容人们做事要懂得计算成本，划不来的事不要干。
斗米养斤鸡——唔化算	不合算、划不来。
斗过	比试比试
斗醒	比阔气[注]另词懒醒：故作聪明（事实上不一定是）
斗靓	比漂亮
斗顶	互不相让
斗鸡眼	对眼，两眼的瞳孔往中间靠得很近
斗𢴈daat3	比摔跤
斜斜哋	①物品有点歪斜②近来运气不大好，常遇倒楣事。
斟下	谈一下，商量下
斟泻	①倒茶水溢出②引申为两人谈话谈得没完没了
斟盘	①谈生意、商量做买卖②引申为一般的计议事情③谈判
斩中	传中。
斩人	砍人
斩埋去	把球吊进小禁区内
斩头鬼	骂人话，该死的
斩崩刀	骂人话，死了也这么硬
斩开十八碌	对某人恨之入骨，恨不能将他砍成十块八块。
斩手指	戒赌者的誓言。现实中确实有人砍掉手指以明志戒赌
斩料	家来客人，到烧腊店买点好吃的菜
斩缆	逃跑、了结
斩脚趾，避沙虫	不能因为脚趾上长了疥螨就要斩掉脚趾，而应该想办法积极治疗
断tyun5咕	①断了②没了联系③关系中断。
断估	瞎猜，靠估计
断市	在市场上已经没有这些货了
断抢	形容吃得快，生怕后面没得吃了
断码	这个规格的（衣服、鞋）刚好卖完了。
断米路	赚钱的路子被切断了
断缆	接不上
断缆	被別人断了球
断货	货品供不应求，没货。
新仔	新手，刚参加某行业者
新净	崭新
新嚟新猪肉	新员工加入，有一个不成文的规定，大家会要新员工请大家吃一顿
新夸夸	新的，簇新
新奶奶	指新郎的母亲，一般在婚礼上才会称呼
新屎坑，三日香	①做事三分钟热度②比喻小孩子的兴趣不长久
新山唔过社	民间俗例，拜新山宜在社日之前。
新年流流	大新年的，大过年的，多指正月初一至十五这段时间。
新心抱，三日勤	刚刚入门的媳妇一般几天内会十分勤块，以后就难说了。
新抱	①新娘②儿媳妇
新样	特別新奇
新簇簇	簇新，很新。
新花臣	指新的招式，新的花样
新藕	①刚出现的②新上市的莲藕
新衫	新衣服。
新鲜滚热焫	比喻十分鲜活，十分新鲜
新鲜萝白皮	萝白即萝卜，意为你算什么玩艺，你算老几
施施然	①悠哉游哉，慢悠悠地②无所谓，与世无争
无三不成几	三个以上才可以说成「几个」
无丑不成戏	戏剧表演中需要丑角，红花虽好也要绿叶衬托
无事出街小破财	没有什么事最好不要上街，因为看到喜欢的东西就会掏钱买
无事献殷勤——非姦即盗	提醒大家要注意那些套近乎的陌生人，以防不测
无啦啦	①平白无故地②毫无关系
无声狗——咬死人	比喻阴险之人，平时不做声，一发作起来可置人于死地。
无头安出脚	砌词不实，胡乱编造
无官一身轻	不当官了，没有官场上的争斗，感到一身轻松。
无情火起	无缘无故地发火
无情白事	无缘无故地。
无情鸡	以前老板要解雇员工，年终请员工吃饭时，老板会对他十分客气，夹起鸡块放在他的碗里，表示他被「炒鱿鱼」了
无惊无险，又到五点	朝九晚五一族的口头禅
无数啦	大家互不拖欠了
无毛鸡打交——啖啖到肉	歇后语
无程程	不料，突然的，事出意外
无端端	无缘无故地
无论点好	不管怎么样
无谓争	没有必要去争什么
无钱哪得食云吞	清末，广东有位才子名叫何淡如，他性情诙谐，风趣幽默，常喜用广州方言赋诗作对。某日，他与一班好友正在雅集，大家谈吐甚欢。这时，有位兄台出了个上联徵对，上联是：「有酒不妨邀月饮。」何淡如不假思索地应声道：「无钱哪得食云吞」座中友人见他出语俚俗，正在讪笑，何淡如平和地说：「你们笑什么，我刚才不是把下联对出来了么。」众人怔了一下，再品味一下他的下联，个个不禁拍案叫绝。有一次，何淡如正与朋友饮茶，忽见有人打架，一拳打向对方眼睛。朋友惊呼道：「一拳打出眼火！」何淡如见对面有人吸淤，即答：「对面睇见牙烟！」「牙烟」语含双关，既指口中喷烟，也有「危险」，之意何淡如中过举，任过县学教谕，博学多才。可他的儿子却倚仗老子名声，吃喝玩乐，不思进取。何淡如焦虑万分，在厅中徘徊。儿子顺口吟出上联讥笑他：「剩得两撇鬍鬚，此后唔知点算好？」何淡如大怒，随口斥道：「养成一身顺骨，从今改过未为迟！」又有一次，何淡如与友人吕拔湖乘船游珠江。吕拔湖见珠江风景秀丽，吟出上联云：「四面云山谁做主？」何淡如听见后即对道：「一头雾水不知宗」吕拔湖听完后起初也有「一头雾水」之感，后细想才知是妙对。因那时吸鸦片很平常，吞云吐雾的，吸后飘飘然，什么都忘记了。何淡如以此自省，也算有自知之明了。
无钱戒赌博，有钱又发作	指恶习难除
无鸡斩四两，有鸡要递样	讽刺某些人口头阔绰，而实质小气
日做夜做	不分白天黑夜地去干活，贴补家用
日光日白	大白天的，光天化日之下
日头	太阳，白天
日头下	太阳底下。
日头唔好讲人，夜晚唔好讲神	白天不要议论別人，正像晚上不要议论神灵那样，不然的话会得罪神灵
日头游游荡，夜晚补裤裆	指一些人白天无所事事，晚上才做一点正经事
日头猛	指太阳晒得厉害
日头红红	太阳正笑眯眯地跟人们打招呼。
日头荡荡	①大白大的，光天化日②大太阳晒著
日子流流长	谓时间很漫长
日悭一口，月积一斗	劝谕人们要勤俭持家，节约粮食
日捱夜捱	白天晚上都拼命干活，又苦又累。
日掛夜掛	指长辈对游子日夜思念、牵掛
日日	天天
日日如是	天天如此
日本味精——味之素（未之数）	谓不确定，尚没有结果
日蒲夜蒲	指经常去泡巴、去玩的人
日讹夜讹	形容母亲时常对儿女唠叨
日防夜防，家贼难防	提醒人们严防内部小偷。
旧底	从前
旧时	以前
旧阵	以前一段时间
旨意你	指望你了，全靠你了
早一轮	前些时间，前段日子
早上一壶茶，唔使搵医家	劝谕人们平时早上喝些茶，有益身体，连大夫那儿也不用去光顾。
早买早著	好东西当然是早买早享受
早唞tau2	①晚安②早点归西
早啲返	早点回来
早排	早些时候
早早哋	趁早，赶早
早死早著	早一点死，或许对社会对別人是一件好事。
早知冇穷人	很多事情都是难以预料的。
早知灯有火，唔使成屋摸	世界上有很多事情是无法预知的，走些弯路也是不可避免的。
早走早著	是非之地，早点离开避免麻烦
早轮	前阵子
早过头	太早了
时不时	不时地。
时也命也	形容时运不济，碰不上好机会
时也运也	时机的把握有时要靠个人的运气促成。
时运低	形容有时运气差一些
旺丁唔旺财	指一些商场做生意的人流量很大，但却做不成多少生意。
昆人	骗人
明䆲kwang1	分明、显然。
明剃眼眉	被人欺负到头上来了
明框系噉	明明就是这样的
明火	①烹调用语，适度的不能间断的火②公然的
明益	明白地给你便宜
明讲	不隐蔽、明说
明醒	明自地送给你
昏昏沌沌	头有些晕，干活老出差错。
易上手	很容易就学会了
易到极	比喻易如反掌，十分容易
易话为	简单的、容易办的事
易过借火	这件事真是太容易办了
春瘟鸡	打瞌睡而晕头转向
昧屎氹	比喻去做很不容易做的事。
昧水	潜水。
昧落水	指潜在水底下
是但	两可、随便
是必	①也许②必定、势必。
是是但但	随便一点。
是是但但，豉油捞饭	谓某人对吃的东西很随便，哪怕是拿醬油泡饭也无所谓
晏咗	晚了一点时间
晏昼	①中午、下午②午饭。
晏昼荡荡	大中午的
晏觉	午睡。
晒亲	给太阳晒坏了
晒你冷	孤注一掷，豁出去了
晒冷	赌博术语，指向你挑战，要比你大，吃定你
晒命	自夸命运好、有祸气。
晒嘢	指自夸，卖弄
晒地	指在农村晾晒谷物的大片场地。
晒棚	房顶上面的晒台。
晒棚打交——高斗（窦）	比喻高傲，架子大。
晒衫	晾衣服。
晕晒浪	①坐船时海浪一过就发晕②引申为见到漂亮姑娘就晕乎乎的
晕晕哋	有点晕乎乎的
晕晕陀陀	头疼，晕乎乎的
晕浪丸	指晕车（船）药。
晕陀陀	昏昏然，晕乎乎
晚头黑	指晚上、夜晚
晨七咁早	形容大清早的。
晨早	清早、早晨
晨早流流	清晨，大清早的
晨褛	起床后暂时穿的长衣
暖笠笠	很暖和。
暗哑抵	亏了本也不敢声张，吃哑巴亏
暗暗沉沉	意指不够光亮，有点儿昏暗。
暴得志	突然满足了名或利的欲望。
暴离床	指乍睡別人的床而不能入睡。参看「生暴床」
曱甴	曱甴者,小强也，蟑螂。
曱甴肚	①嶂螂的肚子太小了②装不下什么东西。
曾几何时作恶过	从前他做过坏事，不过，我们还是着重看他现在的表现
最叻	能干、最聪明
最唔抵得颈	他这个人最忍不了气，火气上就误事了。
最多	大不了、充其量
最多唔系	充其量，还不是，有什么大不了的。
最弊	真糟糕。
最恶	穷兇极恶。
最憎	很讨厌
最掂	①最有办法②有能耐
最易话	很容易商量好说话
最紧要好玩	对前途没什么打算的人最要紧的就是目前要好玩。
最衰	最差劲、最坏的
最锡你	（他）最疼的人是你
月份牌	日历牌。
月字边	汉字偏旁，月字旁。
有一排	①有一段时间②相当长的时间
有两度	①有本领，有办法②武功有两下子
有中错状元，冇起错花名	花名即绰号，几乎每个学生都有绰号。绰号基本上表现出每个人与众不同的特点，有一些还十分贴切，惟妙惟肖
有乜两句	指两人很投缘，谈得来，意气相投
有乜事	没有什么事情
有乜事干	有何贵干
有乜冬瓜豆腐	有什么三长两短
有乜咁出奇	世界上的事，真是无奇不有，请不要少见多怪
有乜咁大单	有什么大不了的
有乜咁巴闭	有什么了不起的
有乜嘢依喐，抓住大碌竹	以前没有防盗门，人们只好在门后放条木棍、竹棒，有什么动静就拿起它来对付
有乜噏乜	有什么话就说什么，没有保留。
有乜好倾	①没有什么好谈的了②意见不合。
有乜好倾	没有什么好谈的了
有乜好死	骂人话，即不利，对己没好处
有乜法子	有什么办法去解决呢
有乜用	有啥用，什么用处也没有
有乜错	没有什么错误
有乜面	啥面子都没有了。
有乜食乜	①有什么就吃什么②不会挑食
有买趁手	商家用语，要买就快一点，不然很快就会卖完了。
有交易	有交道可打，可与之打交道
有仇口	指两人有仇，有怨恨
有今生，冇来世	今生后，来世不会再见了。
有便宜哈哈笑，冇便宜呱呱叫	讽刺某些人时常为自己著想，有好处时笑嘻嘻，没好处时呱呱叫
有借冇还	借钱时大拍胸脯说何时还，到期了却推搪不还
有倾有讲	有说有笑的样子
有冇	有没有
有冇得掹	有没有挽回的可能
有冇得湿	比喻有没有润笔费之类的收益
有冤无路诉	有了不平的事却没地方去申冤。
有几何	不是经常的，能有几回，难得一回的
有几手嘢	有点本事，有两下子，有点技能
有分数	心中有数，胸有成竹
有功者留饭不留餸，无功者饭餸不留	这是等人吃饭者的「格言」,奇怪的是，有功劳的人只有饭没有菜，真的说不过去。
有势艺	不会閒著，有事可干
有口齿	有信用，不食言，说话算数。
有古怪	①事情可能有变化②奇怪，蹊跷
有听头	形容好听，值得听，听得有味道
有咁啱，得咁乔	真是无巧不成书
有咁快时走咁快	形容逃跑时的情形
有咁笋	哪有这么便宜的事情。
有咁耐风流，有咁耐折堕	劝谕人们有钱不可用尽，干了不道德的事是会有报应的
有咁远，走咁远	能走（躲）多远就走（躲）多远
有咁风流，有咁折堕	劝谕人们不要只顾风流快活，提防报应
有咗	女人有了孕
有咗肚	即怀孕，有身孕。也说成「有身己」
有啲唔妥	有点不对劲
有啲声气	①有一点消息②有一点希望
有啲阻滞	有点困难，有点阻碍
有嗰句，讲嗰句	有一句我就讲一句，反正是心里话。
有嘢	①有东西②有问题
有嘢就讲，有屁就放	（不耐烦地说）有什么话就快说，別啰啰嗦嗦的
有型	形象好、外表酷
有型有款	款色新颖，好看，够酷
有声有气	①有人陪伴②有人商量③有希望，有门儿。
有声气	①有消息②有门儿，有机会
有大山挨	比喻有靠山，有棵大树好乘凉。
有大食大	在一班人中间，谁的年纪最大，工资最多，官位最高，通常就让他请客
有头威，冇屘阵	做事虎头蛇尾
有头有主	有头儿，有主人。
有头有屘	有始有终，坚持到底
有头有路	①有条理②有来头，有来由。
有头有面	在社会上有地位，有面子。
有姿势，冇实际	只有花架子而没有真本事。
有定性	①指有耐性②有定力
有局	有活动、社交应酬
有异性，冇人性	有了异性朋友而疏远了同性朋友。
有得掹	事情有挽回的可能
有得搏	值得去拼搏，有机会就要去力争
有得谂	这件事可以考虑去干
有得震，冇得瞓	担惊受怕睡不好。
有心唔怕迟，八月十五都系拜年时	只要有心，什么时候去人家处拜访都可以
有心机	比喻能专心致志，肯用功。
有心玩嘢	①存心耍手段②存心设计障碍，搞得人焦头烂额。
有心靠害	存心陷害別人
有情饮水饱，无情食饭饥	有情的情侣在一起哪怕是喝水也会感到满足，无情的哪怕是吃饭也会觉得肚子饿。
有慢	告诉司机慢下来，有人下车
有手尾	办事有条理，有始有终
有把炮	①有把握，有能力②有倚靠，有靠山。
有拖冇欠	债务人也承认欠你的钱，但就是一直拖著，反而令债权人不好意思催债
有排捱	够你受的
有排衰	有一阵子倒楣了
有揸手	①有东西做抵押②指手中有些钱。
有揸拿	有把握。
有数为	某事情很合算，很值得干。
有料到	①有内容，有进展②有本事，有行情
有斤两	①有真材实料，有真功夫②做事做得适当，有把握
有旁读旁，有边读边	这是人们对待生字、冷僻字的一般的认字方法
有早知，冇乞儿（音衣）	如果早就知道，世上还会有乞丐吗。
有景滚	指两人（男女）有说不清的关系，令人生疑
有杀错，冇放过	宁可错杀一千，不可放走一个
有板你睇	指有样板、有榜样给你看，给你学
有板有眼	做事有次序，有方法，有步骤。
有样学样	小孩模仿成人，照样儿学，见谁学谁。所以说，身教重于言传。
有样学样，冇样学和尚	有榜样就学榜样，没有榜样可以学学和尚。大概和尚修心养性值得学习吧。
有根繦	有来历，有根据。
有段古	①有一段故事②有一段来历
有毛有翼	许多父母都会对儿女讲这句话，「有毛有翼了，不用依靠我了」。翅膀硬了，比喻孩子长大能够自立。
有气冇力	身体软弱，浑身无力
有气冇地唞	干的活太累了，都快喘不过气来了。
有水脚	已经筹备了回去的费用
有爷生，冇乸教	形容父母只管生孩子，不重视教育
有牌	①有执照②要等很长时间
有牙冇眼	形容开心大笑时的情景，只见牙，不见眼。
有牙力	①小孩刚长的牙没力气②没权力，说的话別人爱听不听
有理冇理	比喻不要管他
有理唔在声高	只要有理，无需嗓门大
有番咁上下	他这个人还是有一定实力的
有的多	有一点点
有眼无珠	①有眼睛但没眼珠了②比喻不会看人、识错人
有眼睇	看见，有目共睹。
有睇头	形容好看，值得看，看得津津有味
有破坏，冇建设	只有搞坏，不会搞好
有碗数碗，有碟数碟	有什么就说什么。
有窿路	指办法多、有门路。
有米	家中有钱
有级数	指某些大牌球员
有纹有路	劈柴要看柴的纹路才省力，干其他活的道理也是一样的
有纹路	①有条理，有分寸②懂事理，懂世故
有缘无分	男女之间成功了就叫有缘分，分手的就叫有缘无分
有肠肚	有心计，有头脑，有主意。
有胡须就系老窦	有奶便是娘
有腰骨	①有诚信，可以信得过②受人之托，很负责任
有花假	假不了，绝对是真的。
有落	公共汽车里，有乘客要下车
有著数	①合算②指有便宜可佔
有著落	①有下落，有下脚处②有可依靠的来源
有计	有办法
有赌未为输	①原意鼓励人不断投注，不怕输②赌博当然不好，但拼搏精神，不怕失败却是值得提倡的。
有赌未为输，迟日塘干就见鱼	鼓励人去赌博并不好，但是做人要有耐心，要有坚持到底的精神这是可取的。
有路	①有门路②指某男女有私情
有路数	有门路，有机会（得到好处）
有输家，冇专家	在股市里只有赢家和输家，没有专家
有辣有唔辣	①有辣的菜也有不辣的菜②比喻有难啃的工作，也有容易的工作。
有运行	运气不错，有机会，有希望
有钱存定急时用，好天斩埋落雨柴	劝谕人们未雨绸缪居安思危，提前做好準备
有钱换换季，无钱著过世	有钱的人可以频繁换季（衣服），无钱的人可能一套衣服穿一辈子。
有钱搵唔晒	世界上的钱是赚不完的，所以，不要那么拼命地去赚钱
有钱楼上楼，冇钱地下踎	吃饭时有钱的人上酒楼，多气派，没钱的人在马路边蹲着吃饭
有银搵	有钱可赚
有铺牛颈	不听劝阻，较为顽固。
有阵时	有时候。
有飞	①有电影票（fee）②有面子（face）
有飞士	英语音译，指有面子
有食就食	有得吃你就吃，別那么多的废话
有骨	话里有话
有鬼用	没用，有啥用
望下	随便看看
望下次	这次失败了，希望下次重新再来。
望住	看着
望到颈都长	左盼右盼，也不知何时才能实现愿望
望到颈长	翘首盼望得到，颈就自然延长了。
望唔倒天日	盼不到有出头之日
望天打卦	无所事事，听天由命
望定	看好来、看好了
望实佢	看着他
望就咁望	就是这个愿望，就是这个希望
望就系噉望	①愿望就是这个②希望他能够学好，学有所成
望山跑死马	那个山头看起来很近，但跑起来把马跑死了还不知道能否到达目的地
望真啲	认真地、仔细地看
朝九晚五	指公司下班族上午九时上班，下午五时下班。
朝勤晚勤，晏昼唔见咗人	有些人很会钻空子，早上和下班之前很忙乎，但是中间一大段时间不见人影，偷懒去了。
朝头晚夜	一早一晚
朝朝早	每天早上。
朝桁晚拆	意为晚上铺床，白天拆掉。这个词其实质应为晚桁朝拆但因为已经约定俗成了，没办法
朝见口，晚见面	邻里乡亲经常见面。
朝食晚洗	形容人懒，早上用过的碗要到晚上才洗。
木匠担枷——自作自受	①自己做的枷自己「享用」②比喻自找苦吃。
木口木面	脸上没有什么表情，总是呆呆的
木嘴	同茂里其实差唔多意思，都系指一个人傻傻呆呆，不过木嘴侧重于形容一个人嘅外表，而茂里侧重于形容一个人的内在。
木头眼镜——睇唔透	指看不透。
木工刨树——专理不平	引申为仗义，专门打抱不平
木木独独	①食物没什么味道②表情呆板、麻木③不言不语
木棉开花，狗虱成拃	开春时节，天气潮湿，易生跳蚤
木独	①迟钝②毫无表情
木虱	臭虫。
木面	脸上没有表情
未入世	比喻不懂得人情世故
未入沓	①不合群，合不来②还没有摸清门路
未入门	①指外行，不懂本行②未过门（的媳妇）
未出界	球还没有出边线。
未去	还没去
未发威	还没有狠起来，还没有认真发力
未喐	还没动
未喐过	没有动过，还没开始动作
未够喉	①食物不够吃②吃得不满意。
未够班	①资历浅②技艺、能力还没有达到要求，水平一般
未大透	指成年人还像小孩子那样贪玩、爱闹
未学行，先学走	行事要循序渐进，切勿还没学会走路却先要跑起来。
未定得	还没有定下来
未得	还没成
未得切	来不及。
未得自	还不行
未拉耐	还早著呢，还有段时间。
未掂	还没做好
未敲钟先入饭堂	①有些工厂的饭堂到点了就会敲钟吃饭②指还没到结婚年龄就同居了。
未曾	还没有
未曾做	还没有做过
未曾食羊肉——空惹一身膻san4	我还没有染指这个项目，却惹来一身的麻烦
未有声气	①还没有动静②还没有希望
未有耐	①还有一段时间，早著呢②差得远
未死过	形容某些人不懂得「死」字怎么写
未生埋脑笋	①指小孩子脑子还没长好②少不更事
未知死	不懂得利害关系，也说成，「未识死」
未落膈	①吃下去的东西还没有下到胃里去②形容一天内所学的东西太多还没消化
未衰过	比喻从来就没有失败过
未见过大蛇屙屎	孤陋寡闻
未谂到	还没有想到。
本嚟	本来
本撇	什么都不管了
札下	受到惊吓
札堆	几个趣味相投的人混在一起
札职	升职
札起	①跳起来②惊醒
札起咗	①升了职②终于可以出人头地了
札醒	突然醒了
札马	①练功时札起马步②上厕所蹲坑
杀人填命——抵死	该死，一命还一命
杀人须见血，救人须救彻	比喻做事要做到底，帮忙也要帮到底
杀你	不是杀人，而是经过讨价还价后拍板成交
杀到一颈血	他们斗得难解难分，异常激烈。
杀到埋嚟	①敌人已经攻到眼前了②迫在眉睫
杀得就杀	看见能够宰杀的小动物都把它们杀掉
杀食	拿手的、有办法解决的
杉皮盖屋——好过茅（冇）mau3	「冇」此处读作「卯」，谐音「茅」,指有替代品用，总好过没有
李我讲古——包衰收屘	①李我是民间说书人，他讲的故事大多是以悲剧告终②比喻到后来都是倒楣的。
李福林睇报纸——倒转来	某日，李福林独自返回军部办公室，正好有几个参谋官在看报纸，边看边议论。李福林觉得好奇，便走上前问：「你班契弟，睇乜野？咁好笑！」其中一位参谋不知道李福林不识字，以为这时正好可以巴结上司，便顺手将报纸递给李福林。李福林接过报纸就看起来，因为他不好意思在下级而前说自己不识字。可是，他连报纸倒转了也不知道。参谋们全都惊呆了，幸好副官醒日，马上斟了一杯茶递过去，说道：「军座，饮杯茶先啦。」李福林也顺手推舟，放下报纸，接过茶杯说：「都唔知佢噏乜。」于是，广州便有了一条新的歇后语：李福林睇报纸——倒转来。
李福林部队——三武和五	「三武和五」（和读作鹅）原是天九牌文武牌子组合最小的一组牌，比它大的是天九、地八、人七。虽然已不能打人，并有大牌打它，但一个人纸掌捉八张牌，要拿到一份三张组合的牌子并不容易。所以，「三武和五」一出，多数情形是无人打它，并乖乖地承认它胜了三戙牌在广州，比李福林更大、更强的军阀并不多，故李福林队伍在广州形成独大的局面，没有别的军队和他硬拼，他就是「一哥」。所以，李福林部队出，便如牌九上「三武和五」的牌路一样，全胜而归。
李逵卖煤——头头黑	形容处处都碰上不顺利的事，倒楣的事
条仔	黑道上称男朋友
条命冻过水	比喻有生命危险。
条命咁惨	命途多舛，比喻命苦
条女	黑道上称女朋友
条气唔顺	人家多分了一点钱就气不顺，不服气
来说是非者，就系是非人	说三道四的人往往就是说是非的人
来路嘢	进口货，外国货，舶来品
松人	离开、走人。
松匹匹	松散的样子
松啖气	松了口气。
松拋拋	松松垮垮的样子
松晒	终于可以放松了
松毛松翼	形容一些人被赞扬后便沾沾白喜，飘飘然。
松糕	一种糕点
松身	衣服较宽松
松返下	现在才可放松一下。
枒位	与对方争抢好的位置
枒手枒脚	①走路时一副趾高气扬的样子②碍手碍脚。
枒枒拃拃	指目中无人，走起路来十分霸道，霸气十足。
枕头木虱——包咬颈	①枕头下有小虫易咬头颈②比喻老是跟別人抬杠
果占	Jam，普通话说「果醬」，广州口语常简称「占」。译音。
架势	体面、有排场
架基冷	自己人，模仿潮汕方言的读音
架步	①黑话，手段、办法②娼赌场所
架生	器物、工具
柄埋柄埋	把什么东西都藏起来
柄柄埋埋	把一些没有什么价值的东西也收藏起来。
某某靠得住，猪乸会上树	民间俗语，指某人是十分靠不住的
柳树开花——冇结果	即没有什么结果
柴台	互相不配合，拆台
柴晒台	指专门拆別人台，跟別人过不去
柴高兴	人多在一起图个高兴
栅（音摘）乱哥柄	指打岔，打断別人的谈话
标入去	冲进去。
标冷汗	浑身出虚汗
标出标入	急促、快速地走进走出。
标到明	写得很清楚
标参	被绑架的人质
标咗出去	突然间飞奔出门。
标喺前	冲在最前面。
标尿	惊吓、恐慌到尿出来。
标屎标尿	因恐惧导致非正常排屎排尿
标明	要写明、明白说出（价格）
标晒冷汗	由于紧张，出了一身汗
标晒烟	形容见不得人的事被捅了出去
标汗	忙乱中出了身汗
标烟	①冒烟②出了问题
标青	①貌美出众②拔尖、超群
标高	小孩长高。
树老根先死，人老脚先衰	有人说，看一个人老不老，就看他的腿，腿不好使了大概也老了
校水	把冷热水调试好放进浴缸
校（音较）炮	为队友调整好位置输送球射门
样样嘢	每样东西
样衰	①別人不喜欢他②言行举止讨人嫌
核wat6突	①使人恶心的滑溜东西②指人的丑态，使人厌恶的表现
核核突突	形容很难看，很恶心
格下价	打听价格，探问行情，互相比较。也说成「打下价」
格下眼	看过之后帮忙参详一下，评判一下。
格开佢	阻拦，分开他
桃花兼夹顺	扑克术语，一副牌（十三张）如果有五张是顺子，而且同一花色，那就是运气很好了。
桄榔树榦——条心借树榦笔直	用只有一条心的桄榔树来形容情侣之间的忠心
案兄弟	指新郎的伴郎，主要工作是在宴会上为新郎解决酒杯里的问题。
桥凳	狭长的板凳。
