𫵱	cat6 【俗】男生殖器。
朝	ziu1 早上；上午。我～～都跑步。(我每天早上都跑步。)│我喺度等咗你成～。(我在这儿等了你整个上午。)
朝头早	ziu1 tau4 zou2 早上；上午。晚头夜早瞓，～早起。(晚上早睡，早上早起。)[又作「朝早」]
朝朝一碗粥，饿死医生一屋	ziu1 ziu1 jat1 wun2 zuk1 ngo6 sei2 ji1 sang1 jat1 uk1 【谑】每天早上喝一碗粥，就不会生病，医生就会因此而失业，全家都得挨饿(朝：早上；朝朝：每天早上；一屋：全家)。这是夸张地说早上喝粥有益健康。[「粥」与「屋」押韵]
朝行晩拆	ziu1 hong4 maan5 caak3 晚上铺床睡觉，早上拆掉(往往是居住地方狭窄所采取的措施)。[本当说「晚行朝拆」(行：架床；朝：早上)，但习惯上说颠倒了。]
朦朦光	mung4-1 mung4-1 gwong1 朦朦亮。个天啱啱～我就出门嘞。(天才蒙蒙亮我就出门了。)
木头车	muk6 tau4 ce1 装载货物，以便沿街叫卖的手推车(今罕见)。
木梳化	muk6 so1 faa3-2 一种木质坐椅。因其形制(较矮，一般带扶手)、用途(一般摆设于客厅)与「梳化」(沙发)相近，故名。
木独	muk6 duk6 寡味。呢碟鸡蒸得熟过龙，～啲。(这碟鸡蒸得过了火，寡味了点儿。)
木独	muk6 duk6 呆滞；表现出迟钝的样子。阵间见到人，咪咁～啊。(呆会儿见了面，别那么呆板。)│你够晒～，噉都学唔识。(你够迟钝的，这样都学不会。)
木独	muk6 duk6 【贬】木讷；迟钝。个人咁～，好难教个噃。(这人这么迟钝，很难教的呀。)
木瓜	muk6 gwaa1 番木瓜。广州人以其果实为水果，又作蔬菜。[此与别称「榠楂(樝)」的「木瓜」是完全不相同的种类]
木瓜公	muk6 gwaa1 gung1 ①不结果实的番木瓜植株。②内瓤无籽的番木瓜果实，肉质较厚而味较佳。
木糠	muk6 hong1 锯末；木屑。因形同细槺，故名。
木虱	muk6 sat1 臭虫。
木鱼书	muk6 jyu4 syu1 一种流行于粤语地区的曲艺。最初限于佛教徒传唱佛教因果报应故事，后发展为吟诵说唱体，内容亦渐广泛。特点是节奏自由，没有起板和过门。
未	mei6 对「已经」的否定；没有；还没。件衫～干。(这衣服还没干。)│你睇见～啊？就系噉。(你看见了没有？就是这样。)
未大透	mei6 daai6 tau3 同「大唔透」。
未曾	mei6 cang4 同「未」。我仲～去，佢就嚟咗先嘞。(我还没去，他就先来了。)
未有耐	mei6 jau5 noi6-1(-2) 字面意思是还没过多久，意为还要过很久。到我未啊？——～啊！(轮到我了吗？——早着呢！)│～够钟。(还要好久才到点。)
未算	mei6 syun3 对「已经达到某种程度」的否定；不算。噉都仲～犀利。(这还不算很厉害。)
未见过大蛇屙屎	mei6 gin3 gwo3 daai6 se4 o1 si2【熟】【喻】【谑】见识不多。
本事	bun2 si6 【褒】能干；有能耐。谂唔到你咁～噃！(想不到你这么有本 事！)
本地姜唔辣	bun2 dei6 goeng1 m4 laat6 【喻】人才在本地本单位总是起不了作用，也暗示另一个意思是外面的人才反而较易受重用。与普通话「墙内开花墙外香」意思近似。
本地状元	bun2 dei6 zong6 jyun4 【谑】麻风病人。
本地鸡	bun2 dei6 gai1 广东地区所产的鸡(与「大种鸡」相对)。～贵好多，一斤～可以买两斤大种鸡。(广东地区产的鸡贵很多，一斤广东地区产的鸡的价钱可以买两斤外地产的鸡。)
本应	bun2 jing1 本来。呢间佛寺～好大㗎，「文革」嗰时拆咗一大窟。(这间佛寺本来很大的。「文革」的时候拆掉了一大片。)
本心	bun2 sam1 良心。人要凭～做事嘅。(人要凭良心办事。)[又有初衷、本来的意愿之义，则同于普通话]
本身	bun2 san1 原本；本来。我哋～住喺海珠路嘅，搬嚟呢度冇耐哋。(我们本来是住在海珠路的，搬到这儿没多久。)
本银	bun2 ngan4-2 本金
札	zaap3 登记(帐目)。～数(上帐)
朱古力	zyu1 gu1 lik1 【外】巧克力。[英语chocolate]
朱屎喳	zyu1 si2 zaa1 同「吱喳」。
朱油	zyu1 jau4-2 一种色浓的酱油。
机油	gei1 jau4-2【外】润滑油。[英语grease]
杀	saat3 干(活)；完成(工作)。连呢啲都～埋佢啦。(把这些也干了吧。)
杀	saat3 切(一般指把物体切开)。将呢边西瓜～开几嚿。(把这半边西瓜切开几块。)
杀摊	saat3 taan1 完成；结束。嗰单工程经已～嘞。(那项工程已经做完了。)
杀起	saat3 hei2 完成。呢度听日可以～。(这里明天可以完成。)
杀食	saat3 sik6 顶用。啲水泥钉几～个噃。(那些水泥钢钉挺管用的。)
杂	zaap6 供食用的禽畜内脏；杂碎。
杂杂声	zaap4 zaap2 seng1 咀嚼声。食嘢～，只猪噉！(吃东西这么响，像头猪！)
杂柴	zaap6 caai4 松木以外其他木质的柴火，与「松柴」相对，质较差。
杉	caam3 上下皆为碗口般粗的长杉木材，也泛指其他木质的类似木材。，一般可用作支撑、搭设等。
杏桃	hang6 tou4-2 红桃，扑克花色之一。
杏领	hang6 leng5 圆领，近胸处成浅角如杏果形，故称。
杠床	gong3 cong4-2 一种可睡可坐的长椅，通常为木或竹制品。
条	tiu4 用于长条形的物品；条、根。一～棍│一～锁匙(一把钥匙)[普通话也使用「条」，但用法比广州话少。]
条	tiu4 【贬】个。呢～衰神(这个坏家伙)│佢哋三～嘢(他们三个家伙)
条气唔顺	tiu4 hei3 m4 seon6 火心情不舒畅；有意见。我唔系志在银纸多少，系～！(我不是在乎钱多少，是心里有气！)[参见「气顺」]
来路	loi4 lou6-2 外来的；从国外进口的。～车(进口汽车)│～货(进口货)
杰	git6 稠；浓；糨。啲粥好～。(这些粥很稠。)│牛奶～过水。(牛奶比水浓。)
杰挞挞	git6 taat6 taat6 非常浓；非常稠(成糊状的)。呢坺咩嚟㗎？～嘅。(这摊是什么东西呀？这么稠。)
松	sung1 因伤、病情转缓而患者感觉较为舒服。食咗两剂药，今日见～咗啲嘞。(吃了两剂药，今天觉得轻松一些了。)
松䋨	sung1 pau3 同「䋨」。谂唔到呢嚿石头咁～，轻轻一摼就散 咗。(想不到这块石头这么不结实，轻轻一击就碎了。)
松人	sung1 jan4 【俗】溜走；偷偷离开。而家～唔系几好嘅。(现在溜掉不太好。)[又作「松」]
松佊佊	sung1 pe5 pe5 【贬】松松垮垮的(佊：歪斜)。绑到～噉，一摵唔系散啰。(捆得松松垮垮的，一提起来不就散架了吗。)
松化	sung1 faa6 酥脆(指食物)。呢家饼家做啲饼零舍～嘅。(这家饼店做的饼特别酥脆。)
松啲	sung1 di1 用于数量词后面，表示有不大的余数。有两百个～都够㗎嘞。(有二百来个就足够了。)
松柴	cung4 caai4 松音虫。松木柴火，为旧时居民常用的燃料。
松毛	cung4 mou4 松树的针状叶；松针。[广州话「松树」之松与「松紧」之松不同音]
松毛松翼	sung1 mou4 sung1 jik6 【喻】【贬】显出得意的样子。唔好有些少成绩就～。(不要有一点成绩就得意忘形。)
松骨	sung1 gwat1 一种按摩方法，以掌侧或拳头击打身体各部位，以达舒筋活络之效。
松骨	sung1 gwat1 【喻】【谑】揍。系唔系想我帮你～啊？(是不是想我揍你一顿？)
松鸡	cung4 gai1 松树的球果。
板(办)	baan2 照相馆为顾客照相，先洗一样张让顾客看，认为满意后才正式洗印，此样张称为「～」。两日后嚟睇～。(两天后来看照片样张。)
板斧	baan2 fu2 【喻】本事。原来你都有翻两下～个噃。(原来你还有那么两下本事。)[说唐故事说程咬金的本事为「三板斧」，广州话此语即从此而来]
板障	baan2 zoeng3 把房屋分隔成各个单间的板墙。通常以胶合板等板材构筑。
极	gik6 表示即使达到很高或最高程度(后面接否定的说法)；怎么(……也还是)。话～佢都系～噉(怎么说还是这个样子。)│佢叻～都有限啦。(他再怎么有能耐也就是这么个水平。)
极之	gik6 zi1 表示程度极高；极其。呢件事～紧要。(这件事极其重要。)│佢做嘢～慢。(他干活极慢。)
枕	zam2 (手足等的)老茧。手～│赙头起～。(肩膀长了老茧。)
枕住	zam2 zyu6 同「枕长」。我～做咗半年理疗先至见好。(我连续做了半年理疗才见好。)
枕头肉	zam2 tau4 juk6-2 枕头芯子(肉：内含物)。
枕长	zam2 coeng4 长期经常地；长期不断地。甲方嗰便～有人喺度监督质量㗎(甲方那边一直都经常有人在这儿监督质量的。)
林	lam5 在粉状或酱状物中沾一下就拿出来(一般用于食物)。炸鱼要先～下面粉。(炸鱼要先蘸一下面粉。)
林林声	lam4 lam4-2 seng1 同「啦啦声」。
果占	gwo2 zim1 【外】果酱。～曲奇(果酱小甜饼)[「占」为英语jam的音译]
果栏	gwo2 laan4-1 水果批发店。你喺～做嘢，咪大把生果食？(你在水果批发市场干活，岂不是有很多水果吃？)
枧(碱)	gaan2 肥皂。[传统上以碱(碳酸钠)为日常洗涤剂，后改用肥皂，仍沿用此名称，而另写作「枧」。]
枧(碱)沙	gaan2 saa1 十水合碳酸钠结晶。外形似沙，故名。有强去油污作用，现一般用于工厂工人等洗油垢用的洗涤剂。
枧粉	gaan2 fan2 先衣粉。
枱	toi2 桌子。写字～(书桌)│食饭～(饭桌)
枱布	toi2 bou3 铺桌布。
枱布	toi2 bou3 擦桌布(枱：桌子)。
枱枱凳凳	toi2 toi2 dang3 dang3 桌、椅、凳等的总称。将啲～担翻晒返去。(把桌椅凳子全都搬回去。)
枱波	toi2 bo1 台球(一般是指这项运动，而非指球)。[若指这种球，则称「弹子」。「波」为英语ball的音译]
架	gaa3 用于车、船(一般是机动船)、机器等；辆、艘、台。一～单车(一辆自行车)│一～拖拉机│一～船│一～电视机。
架(价)势	gaa3 sai3 了不起(略含贬义)。呢匀你～喇，老细睇得起噃。(这回你可了不起了，老板瞧得起你。)
架基冷	gaa3-4 gei1 laang5-1 【谑】自己人。[这是模仿潮汕方言的读音]
架撑	gaa3-2 caang1 工具的总称。电工～│～[应当是古汉语词「家生」的变音]
架步	gaa3 bou6 (专业的)技术规程；(行会或黑社会的)行规；(办事的)程序。你唔知～唔好乱𢭃。(你不知道窍门儿不要乱碰。)
架步	gaa3 bou6 架势。佢一摆开个～，就睇得出系好熟行嘅。(他一摆开架势，就看得出是很内行的。)
柜筒	gwai6 tung4-2 抽屉。我张枱有三个～。(我的桌子有三个抽屉。)[不论桌子、柜子或其他家具上的抽屉都一律称为～]
柜面	gwai6 min6-2 柜台。唔该去嗰便～畀钱。(请到那边的柜台交钱。)
查实	caa4 sat6 实际上。～嗰朝早佢都冇嚟。(实际上那天早上他也没来)
柳条	lau5 tiu4-2 竖向的平行条纹。窗帘上便有啲暗～。(窗帘上有些暗竖条纹。)
柴台	caai4 toi4 喝倒彩；拆台。[又作「柴」]
柴哇哇	caai4 waa1 waa1 闹着玩儿。～之嘛，使乜嬲啫！(闹着玩儿罢了，何必生气？)
柴哇哇	caai4 waa1 waa1 热闹。好耐未试过噉成班人～去玩嘞。(好久没有这样一群人热热闹闹去玩了。)
柴鱼	caai4 jyu4 鲣鱼。即「明太鱼」。体长可达1米，蓝色。广东人常制为鱼干以煮汤或煮粥。～花生粥(用鲣鱼干和花生煮的粥)
标	biu1 迅速往上长；长高。啲细路十零岁嗰阵时～得好快㗎。(小孩子十来岁的时候骨架长得很快。)│啲秧猛～。(秧苗直往上冒。)
标	biu1 喷；冒。水喉爆咗，啲水～晒出嚟。(水管破裂了，水喷射出来。)
标参	biu1 sam1 【喻】绑票。[此原为黑社会的隐语]
标汗	biu1 hon6 【喻】大出汗(标：喷射)。天口㷫，猛咁～。(天气热，一个劲地出汗。)
标芽	biu1 ngaa4 长芽(标：窜)。樖树仔～嘞。(这棵小树冒芽了。)│薯仔～就唔食得㗎嘞。(马铃薯长芽就不能吃了。)
栊	lung4-2 【贬】用于本事、心计、事情等(用「嘢」即东西来比喻)。 你嗰～嘢我一眼睇穿啦！(你那些心术我一眼看穿了！)│呢～嘢你唔好黐离手！(这件事你别粘上手！)
栊(笼)	lung4-5 衣箱(通常为木制，较大)。樟木～。
栋	dung6 用于矗立的东西；座。一～楼│一～砖(一摞砖头)[普通话「栋」只用于楼房，广州话用法则广泛得多]
栋	dung6 【俗】千元(本为矗立状物的量词。十「嚿」叠起即为一「栋」)。
栏(拦)河	laan4 ho4 天棚唔整～，好牙烟个噃(阳台不修栏杆，很危险呀。)
树仔头	syu6 zai2 tau4 树桩盆景。将木本植物栽在盆中，经过多年修剪、绑扎、施肥等精细管理和艺术加工，使树干苍劲有力，枝叶青翠繁茂的一种盆栽植物。一般茎干矮小，树龄数十年或百余年，而高仅数寸或数尺。
树头	syu6 tau4 ①树根接近树干的部位或露出地面的部位。②树被砍伐后剩下的树桩。
校	gaau3 调对(钟表等)。～钟│～到五点半嘅闹链。(把闹钟调到五点半闹。)│～下部电视。(把电视调一调。)
校正	gaau3 zeng3 把事情、程序安排得正好(一般是指时间上的)。可唔可以～赵部长嚟嗰两日，大家都唔使出差呢？(能不能安排得赵部长来的那两天，大家都不用出差呢？)
核	wat6 核；籽。冇～柑桔(无核柑桔。)│西瓜～[意义范围校普通话大些]
桁桷	hang4-2 gok3-2。椽子。安放在梁上支撑屋面和瓦片的木条。广州地区的椽子多是薄条型的。[又单作「桁」、「桷」]
桂林相思	gwai3 lam4 soeng1 si1 相思鸟，亦称「红嘴相思鸟」。鸟纲，画眉科。体长约15厘米。背羽暗绿色，头部略带黄色，胸部黄色。翼羽色彩鲜艳；尾具小叉。两性羽毛近似。
桂花鱼	gwai3 faa1 jyu4-2 鳜。亦称「鲜花鱼」、「桂鱼」。
框	kwaang1 自行车及三轮车等的轮辋(套在轮胎里的钢圏)。跌到～都殽埋。(摔得连车轮钢圈也扭弯了。)
框	kwaang1-2 草本植物的茎、杆。菜～│草～。
案底	on3 dai2 作案记录；犯罪记录。店铺盗窃系严重罪行，要留～㗎。(在商店盗窃是严重罪行，要留下作案记录的。│呢条友有～嘅。(这家伙有前科的。)
桐油灰	tung4 jau4 fui1 泥子；油灰。其中一种主要的原料是桐油，故名。常用以壤嵌玻璃窗等。
桑基	鱼塘与鱼塘之间的垄。珠江三角洲的农民多于其上植桑，故名。
桔	gat1 橘子。[普通话「桔」是「橘」字的另一种写法，两字读音相同。广州话两字不同音。广州话「～」与「吉」同音，被视为吉祥之果，过年时居家、送礼必备；又盆栽灌木型桔树，亦为常见的年节观赏植物]
档位	dong3 wai6-2 店铺或售货摊子所占用的地方(档：摊子)。
档口	dong3 hau2 货摊。佢喺街尾开咗个～。(他在街尽头设了个货摊。)[又作「档」]
档摊	dong3 taan1 同「档口」。
桥凳	kiu4-2 dang3 板凳；长条凳。因其形如桥，故名。
梅	mui2 (没牙齿的人用牙龈)嚼。我老喇，冇牙噍喇，惟有～下～下咋。(我老了，没牙齿嚼了，只能用牙龈磨。)
梗	gang2 (机件转动)不灵活；不松动；紧；固定。个水喉掣锈到～咗，拧唔喐。(那水龙头锈紧了，拧不动。)
梗	gang2 固定不变。一日做8个钟就～㗎嘞。(一天工作8小时是固定不变的。)
梗	gang2 一定；肯定；当然。我～嚟嘅。(我一定来的。)│听日我～去。(明天我肯定去。)│噉样～唔得啦。(这样当然是不行的。)
梗2(哽)	ngaang2 硌(凸起的硬东西顶到身体使感到难受或受到损伤)。～脚│～住条腰。(硌着腰。)
梗心梗肺	ngang2 sam1 ngang2 fai3 【喻】同「顶心顶肺」(梗：硌)。
梗板	gang2 baan2 固定的；定死的。个个月上缴五百文，呢个系～㗎喇。(每个月上缴五百块，这是固定不变的了。)
梳	so1 用于成排的、不很大的东西；排。一～子弹│一～香蕉(成挂的香蕉可分切为若干排，一排为一～)
梳化	so1 faa3-2 【外】沙发。[英语sofa]
梳化床	so1 faa3-2 cong4 席梦思床。因其质地似「梳化」(沙发)，故名。
梳化椅	so1 faa3-2 ji2 同「梳化」。
梳起	so1 hei2 终生不嫁。旧时有「自梳女」[参见一E5]，梳髻以示不嫁，称为～。今指女子独身。咁大个女仲唔行，唔通你要～？(这么大的闺女还不谈恋爱，难道你准备独身一辈子？)
棉胎	min4 toi1 棉被的内胎。
棉衲	min4 naap3 棉袄。丝～。
棍波	gwan3 bo1 手动换档装置。呢个～有几档㗎？(这个手动换档装置有几档呀？)
棚	paang4 用于食物咀嚼后剩下的渣滓。一～蔗渣│呢种果得～渣，冇嘢食。(这种果子只嚼出一把渣子来，没东西可吃。)
棚	paang4 用于牙齿；排。佢～牙好白。(她的牙齿很白。)
棚寮	paang4 liu4 建筑工人的临时简易住房。
棚架	paang4 gaa3-2 建筑工程中脚手架、升降架、支撑架等的总称。[又简作「棚」]
森树	sam1 syu6 楝树。亦称「苦楝」。楝科。落叶乔木，高可达20米，二至三回羽状复叶，互生，小叶多数，卵形或椭圆状卵形，有缺齿或类锯齿。春夏之际开花，淡紫色，圆锥状聚伞花序。花丝合成细管，紫色。核果球形或长圆形，熟时黄色。种子数个。种子供药用。花、叶及根皮亦入药。叶可作农药。又为行道树、观赏树及海防林树种。
棹	zaau6 划(船)。将条船～埋岸边。(把船划到岸边。)
棹忌	zaau6 gei6 糟糕。呢件事未谂好就做，实～嘅。(这件事没想好就做，一定糟糕的。)
棹忌	zaau6 gei6 忌讳。你唔好讲呢啲，佢～㗎。(你不要说这些，他忌讳的。)
椗	ding3 (用绳等)吊；悬挂。将佢～喺度，听日就会干㗎嘞。(把它吊在这里，明天就会干了。)
椗	ding3 提(手下垂着提)。你见我两只手都～住咁多嘢都唔嚟帮下手。(你看见我两只手都提着那么多东西也不来帮一下忙。)
椗	ding3 ①蒂；花或瓜果跟枝茎相连的部分。花～(花蒂)│苹果～(苹果蒂)②引申为与本体相连的部分。茨菇～(慈姑球茎的顶芽)
椤柚	lo4-2 jau2 【喻】屁股。因屁股形似柚子，故云。
椰丝	je4 si1 以椰子肉刨成的细丝。通常用作馅料。～角(以椰子肉细丝作主要馅料的饺子状点心)。
椰茸(蓉)	je4 jung4 肉末。制成粉末状的椰子肉。通常用作馅料。～角(以椰子肉末作主要馅料的饺子状点心)
椰菜	je4 coi3 结球甘蓝。北方俗称「卷心菜」、「包菜」、「洋白菜」、「莲花白」。甘蓝的一个变种。
椰菜花	je4 coi3 faa1 花椰菜。北方俗称「花菜」。[又作「菜花」]
椰衣	je4 ji1 椰子果实外包的厚纤维层。～扫把(用椰皮纤维做的扫帚)
楞	lang3 皮肉被棍棒等殴打后突起的伤痕。藤条～(藤鞭子殴打后留下的伤痕)[楞文读ling6]
楷	kaai3 同「揾」。～条实净啲嘅绳嚟绑。(用一条结实点儿的绳子来捆。)
楷	kaai2 用于柑橘等果肉的小块；瓣儿。一～碌柚(一瓣儿柚子)
楷嚟	kaai3 lai4 同「将嚟」。买啲嘢返嚟系～用㗎嘛，～趸嘅咩？(买了东西回来是使用的嘛，是买来存放的吗？)
楼花	lau4 faa1 期楼(尚未建成而以期货形式进行交易的楼房)。
楼面	lau4 min6-2 餐厅、酒楼的营业大厅。～冇位，唔该入细房吧。(大厅没有位子了，请到小房间去吧。)
榄	laam5-2 橄榄。
榄角	laam5-2 gok3-2 榄豉；腌制的乌榄。以生乌揽去核后压扁切成两半腌制而成，呈三角形，故名。
榕树须	jung4 syu6 sou1 榕树尚未长入土中的气根。因形如胡须，故名。
槟榔芋	ban1 long4 wu6(-2) 一种肉质紫色的芋头。因色似槟榔汁，故名。
槟榔薯	ban1 long4 syu4 一种肉质紫色的甘薯。因色似槟榔汁，故名。
槽	cou4 把准备宰杀的鸡鸭鹅关起来喂养、催肥。 ～鸡│～肥嗰只鹅。(把那只鹅关起来催肥。)
樖(坡)	po1 用于植物；棵。一～树│两～菜
横囗囗	waang4 bang1 bang1-6 波同「蛮班办」。
横丫肠	waang4 aa1 coeng4-2 盲肠。嗰日佢入医院割咗条～，话系盲肠炎喎。(那天他进医院切除了盲肠，听说是因为得了阑尾炎。)
横掂	waang4 dim6 指明某种情况或原因等(掂：竖)。反正。～都系噉嘞，去就去啦。(反正都是这样了，去就去呗。)│～好近哋，行路啦。(反正很近，步行吧。)[普通话「反正」还有表示不管怎样都不变的意思，这在广州话也说「反正」不说「～」，如「你去唔去都好，反正我去。(不管你去不去，反正我去。)」]
横水艔	waang4 seoi2 dou6-2 接载旅客渡江的小艇，现已少见。
横边	waang4 bin1 旁边；侧面。个波出咗～外。(球出了边线。)
横风横雨	waang4 fung1 waang4 jyu5 风雨横扫。而家噉～，担遮都照 样湿身㗎。(现在这样风大雨骤，打伞也照样淋湿身体。)
樽	zeon1 瓶子。玻璃～│酒～│药～。
樽领	zeon1 leng5 围住脖子的竖领。形如瓶口，故名(樽。瓶)。
橛	kyut6(gyut6) 用于较短的条状物，一般是指从条中分离出来的；截、节。一～铅笔│条棍断咗一～。(那根棍子断了一截。)
橡筋	zoeng6 gan1 紧松带。
橡筋	zoeng6 gan1 同「胶箍」。
橡筋箍	zoeng6 gan1 ku1 同「胶箍」。
檐(盐)蛇	jim4 se4-2 壁虎。亦称「守宫」、「多疣壁虎」。爬行纲，壁虎科。体扁平，长达12厘米。背面暗灰色，有黑色带状斑纹。全体密被小鳞，枕部有较大的圆鳞。第一指、趾无爪，指、趾底面有单排皮瓣。尾易断，多能再生。常在壁上活动，捕食蜘蛛、蚊、蝇等。中医学上以干躁全体入药。
檐口	jim4(jam4) hau2 ①屋檐。②屋檐下之处。企响～度。(站在屋檐下。)
櫼	zim1 (在缝中)打入(薄物)。呢条罅要～实佢先至得。(这条缝要揳紧才行。)
櫼	zim1，86五笔swwg 楔子。上粗下锐的小木橛，插进榫缝中使接榫固定。
櫼头倒脚	zim1 tau4 dou3 goek3 ①头对脚，脚对头(櫼：揳)，指两人同床各睡一头；要～先瞓得落。(要一人睡一头才睡得下。)②泛指物品互相颠倒放置。一只呢便，一只嗰便，着层～噉趸满佢。(一个往这边，一个往那边，逐层互相颠倒着把它放满。)
櫼头对脚	zim1 tau4 deoi3-2 goek3 同「櫼头倒脚」。
櫼队	zim1 deoi6-2 【喻】插队(櫼：打楔子)。呢啲保安都唔知点做嘢嘅，咁多人～都唔理。(这些保安人员也不知道怎么干活的，这么多人插队也不管。)
欢喜	fun1 hei2 喜欢；喜爱。小王话佢～晓莹。(小王说他喜欢晓莹。)[普通话和广州话都使用「喜欢」和「欢喜」，但普通话更多用「喜欢」，广州话更多用「欢喜」]
欢喜乐笑	fun1 hei2 lok6 siu6 高高兴兴。
款	fun2 用于分类的物品，侧重于外貌的分类；种。你话边一～好睇？(你说哪一种好看？)
款	fun2 款式；式样。好～(式样好)
止得咳	zi2 dak1 kat1 【喻】顶用；有效(倾向于指能制止事态向不好方面发展)。呢只药膏好～下，一敷就唔痛嘞。(这种药膏挺管用，一敷就不疼了。)
正	zeng3 好的。～菜(好菜)│～嘢(好东西)。
正	zing3 猛烈的阳光或阳光反射造成干燥的高温。呢度咁～，点解唔去嗰头避下热头啫？(这里这么燥热，为什么不到那边避一下太阳？)
正一	zing3 jat1 同「正式」。呢匀就～系恶搞嘞！(这回就真的是难搞了！)
正中	zeng3 zung1 正中央；中心。个亭喺草地～。(亭子在草地正中央。)
正喺度	zing3 hai2 dou6 同「喺度①」。我哋～商量呢件事。(我们正在商量这事儿。)[又作「正喺处」、「正响度」、「正响处」]
正式	zing3 sik1 确实；实在；真的(略带夸张口气)。你条友～系大头虾嚟嘅！(你这家伙真正是个马大哈！)
正斗	zeng3 dau2 好的。今晚出戏真～。(晚那部电影真好。)
正斗嘢	zeng3 dau2 je5 质量好的东西。买倒～。(买到好东西。)[又作「正嘢」]
正话	zing3 waa6 表示动作正在进行；正在。我入去见佢～食饭。(我进去看见他正吃饭。)
正话	zing3 waa6 刚才。就系～嘅事之嘛。(就是刚才发生的事嘛。)
正话	zing3 waa6 刚刚。架车～至走。(车子刚刚才走。)
步操	bou6 cou1 队列操练。听日我哋要进行～。(明天我们要进行队列操练。)
步级	bou6 kap1 ①台阶。②梯级。电梯坏咗，行～啦。(电梯坏了，走楼梯吧。)
死	sei2 同「起势」。一日到黑唔出声，喺度～做。(一天到晚不吭声，在那儿拼命干。)│打到只牛～趯。(把那头牛打得拼命跑。)
死人	sei2 jan4 【詈】加在人名或称呼之前，作轻微的或带笑骂意味的骂人话(妇女多用)。～老杨，而家先嚟！(死你个老杨，现在才来！)
死人兼冧屋	sei2 jan4 gim1 lam3 uk1 【熟】【喻】死了人加上塌了房子(冧：塌)，喻连翻倒霉。佢不特止畀老细炒咗，仲病埋添。呢匀真系～嘞。(他不但被老板解雇了，还病倒了。这回真是祸不单行啊。)
死人头	sei2 jan4 tau4 【詈】轻微的骂人的称呼(妇女多用)。嗰个～去咗边？(那个家伙哪里去了？)
死佬	sei2 lou2 【詈】对男人辱骂的称呼(女人多用)；有时妻子用以背后称呼自己丈夫。
死党	sei2 dong2 【喻】【谑】要好的、有事必相帮的朋友。我同佢系老朋兼～。(我跟他是非常要好的朋友。)
死咁	sei2 gam3 极度；拼命地；竭力地；死死地。～冲埋去。(拼命冲过去。～盯住对方嘅9号。(死死盯住对方的9号。)
死咕咕	sei2 gu4 gu4 毫无生气；毫无起色。嗰个厂长边处得㗎，搞到间厂～噉。(那个厂长哪儿行呢， 搞得工厂一点起色也没有。)
死咕咕	sei2 gu1-4 gu1-4 【贬】(做事等)呆板；不灵活。你咁～噉，点做生意啊？(你这样呆呆板板的，怎么做生意呢？)
死唔眼闭	sei2 m4 ngaan5 bai3 【喻】死不瞑目。比喻。①留下遗憾；心有不甘(有时不跟临死的心情有关，则带夸张口吻)。做极都做唔倒，真系～！(怎么做也做不好，真遗憾！)② 【谑】死心。唔输埋最尾一分钱你都～！(不把最后一分钱输掉你都不死心！)
死女包	sei2 neoi5-2 baau1 【俗】【詈】死丫头(对自家女儿的詈称)。
死妹丁	sei2 mui6-1 deng1 【詈】死丫头。
死得咁齐全	sei2 dak1 gam3 cai4 cyun4 【谑】人来得这么齐。一话有嘢分就～。(一说有东西分就来得这么齐。)
死得眼闭	sei2 dak1 ngaan5 bai3 【喻】死而瞑目，比喻。①没有遗憾(有时不跟临死的心情有关，则带开玩笑口吻)。个孙都娶埋心抱，我都～咯。(孙子也娶了媳妇，我死也瞑目了。)│你要将啲手尾执清，佢先～嘅。(你要把收尾工作全搞好，他才心安。)②【谑】死心。你扫埋佢嗰只卒，佢就～。(你把他那个卒子也吃掉，他就死心了。)
死悭死抵	sei2 haan1 sei2 dai2 拼命节省(抵：苦熬)。我成年～，至储到五百文。(我一年来拼命节省，才攒了五百块钱。)
死火	sei2 fo2 汽车等因机器故障而熄火。
死火	sei2 fo2 【喻】原指汽车因故障而熄火，比喻事情糟糕。呢匀～嘞，唔记得带飞机票添。(这回糟了，忘了带飞机票。)
死牛一便颈	sei2 ngau4 jat1 bin6 geng2 【喻】【贬】固执(一便：一边儿)。佢～，我都冇佢计，(他固执得很，我也拿他没办法。)
死缠烂打	sei2 cin4 laan6 daa2 豁出去与对方争斗、纠缠。呢支球队技术上麻麻，但系一味～，对手都惊㗎。(这支球队技术上马马虎虎，但总是拼着劲儿打，对手也会怕的。)
死老鼠	sei2 lou5 syu2 【喻】【贬】性格懦弱、无阳刚气的人(一般指男性)。
死老鼠	sei2 lou5 syu2 【喻】【谑】垂头丧气的人。碰倒一啲事就变咗～，真冇用！(碰上一点事就垂头丧气，真没用！)
死老鼠	sei2 lou5 syu2 【喻】【谑】①病态委靡的人②垂头丧气的人。碰倒一啲事就变咗～，真冇用！(碰上一点事就垂头丧气，真没用！)
死蛇烂鳝	sei2 se4 laan6 sin5 【喻】【谑】【贬】极懒的人(广州人以蛇为懒惰不愿动弹的动物，而死后就更不动了；又因鳝似蛇，也指为懒物)。
死铲	sei2 caan2 【詈】辱骂人的称呼。
死鬼	sei2 gwai2 【俗】加在人名或称呼之前，表示这个人已死。我嗰个～老公都有多少银纸留落过我嘅。(我那死去的丈夫也还有一些钱留下给我。)
